,suburb
1574,Fletcher
1575,Flinders
1576,Floraville
1577,Forbes
1578,Forbes Creek
1579,Forbes River
1580,Forbesdale
1581,Fords Bridge
1582,Fordwich
1583,Forest Glen
1584,Forest Grove
1585,Forest Hill
1586,Forest Land
1587,Forest Lodge
1588,Forest Reefs
1589,Forestville
1590,Forresters Beach
1591,Forster
1592,Fortis Creek
1593,Fosters Valley
1594,Fosterton
1595,Fountaindale
1596,Four Corners
1597,Four Mile Creek
1598,Fowlers Gap
1599,Foxground
1600,Frazer Park
1601,Frazers Creek
1602,Frederickton
1603,Freeburn Island
1604,Freemans
1605,Freemans Reach
1606,Freemans Waterhole
1607,Freemantle
1608,French Park
1609,Frenchs Forest
1610,Freshwater
1611,Frog Rock
1612,Frogmore
1613,Frogs Hollow
1614,Frying Pan
1615,Fullerton
1616,Fullerton Cove
1617,Furracabad
1618,Gables
1619,Gadara
1620,Gala Vale
1621,Galambine
1622,Galong
1623,Galore
1624,Galston
1625,Ganbenang
1626,Gangat
1627,Ganmain
1628,Garah
1629,Garden Suburb
1630,Garema
1631,Garie
1632,Garland
1633,Garland Valley
1634,Garoo
1635,Garra
1636,Garthowen
1637,Gateshead
1638,Gearys Flat
1639,Geehi
1640,Gelston Park
1641,Gemalla
1642,Geneva
1643,Georges Creek
1644,Georges Hall
1645,Georges Plains
1646,Georgetown
1647,Georgica
1648,Gerogery
1649,Gerringong
1650,Gerroa
1651,Geurie
1652,Ghinni Ghi
1653,Ghinni Ghinni
1654,Ghoolendaadi
1655,Giants Creek
1656,Gibberagee
1657,Gibraltar Range
1658,Gidginbung
1659,Gidley
1660,Gilead
1661,Gilgai
1662,Gilgandra
1663,Gilgooma
1664,Gilgunnia
1665,Gillenbah
1666,Gilletts Ridge
1667,Gillieston Heights
1668,Gilmandyke
1669,Gilmore
1670,Gin Gin
1671,Gineroi
1672,Ginghi
1673,Gingkin
1674,Girards Hill
1675,Girilambone
1676,Giro
1677,Girral
1678,Girralong
1679,Girraween
1680,Girvan
1681,Gladesville
1682,Gladstone
1683,Glanmire
1684,Glebe
1685,Gledswood Hills
1686,Glen Alice
1687,Glen Allen
1688,Glen Alpine
1689,Glen Davis
1690,Glen Elgin
1691,Glen Fergus
1692,Glen Innes
1693,Glen Martin
1694,Glen Nevis
1695,Glen Oak
1696,Glen Ward
1697,Glen William
1698,Glenbawn
1699,Glenbrook
1700,Glencoe
1701,Glendale
1702,Glendenning
1703,Glendon
1704,Glendon Brook
1705,Glenelg
1706,Glenellen
1707,Glenfield
1708,Glenfield Park
1709,Glengarrie
1710,Glenhaven
1711,Gleniffer
1712,Glenmore
1713,Glenmore Park
1714,Glennies Creek
1715,Glenning Valley
1716,Glenorie
1717,Glenquarry
1718,Glenreagh
1719,Glenridding
1720,Glenrock
1721,Glenroy
1722,Glenroy
1723,Glenthorne
1724,Glenugie
1725,Glenwood
1726,Glenworth Valley
1727,Glossodia
1728,Gloucester
1729,Gloucester Tops
1730,Goarra
1731,Goat Island
1732,Gobarralong
1733,Gobbagombalin
1734,Gocup
1735,Godfreys Creek
1736,Gogeldrie
1737,Gol Gol
1738,Gollan
1739,Golspie
1740,Gongolgon
1741,Gonn
1742,Gooandra
1743,Goobarragandra
1744,Good Forest
1745,Good Hope
1746,Goodmans Ford
1747,Goodnight
1748,Goodooga
1749,Goodwood Island
1750,Googong
1751,Goolgowi
1752,Goolhi
1753,Goolma
1754,Goolmangar
1755,Gooloogong
1756,Goombargana
1757,Goonellabah
1758,Goonengerry
1759,Goonoo Forest
1760,Goonoo Goonoo
1761,Goonumbla
1762,Goorangoola
1763,Goorianawa
1764,Gordon
1765,Gorge Creek
1766,Gormans Hill
1767,Gorokan
1768,Gosford
1769,Gosforth
1770,Gostwyck
1771,Goulburn
1772,Gouldsville
1773,Gowan
1774,Gowang
1775,Gowrie
1776,Gowrie
1777,Grabben Gullen
1778,Gradys Creek
1779,Grafton
1780,Gragin
1781,Grahamstown
1782,Graman
1783,Grantham Farm
1784,Grants Beach
1785,Granville
1786,Grasmere
1787,Grassy Head
1788,Grattai
1789,Gravesend
1790,Grawin Opal Fields
1791,Grays Point
1792,Great Mackerel Beach
1793,Great Marlow
1794,Green Cape
1795,Green Creek
1796,Green Forest
1797,Green Gully
1798,Green Hills
1799,Green Hills
1800,Green Pigeon
1801,Green Point
1802,Green Point
1803,Green Valley
1804,Greenacre
1805,Greendale
1806,Greendale
1807,Greenethorpe
1808,Greenfield Park
1809,Greengrove
1810,Greenhill
1811,Greenhills Beach
1812,Greenlands
1813,Greenlands
1814,Greenleigh
1815,Greenridge
1816,Greenwell Point
1817,Greenwich
1818,Greenwich Park
1819,Greg Greg
1820,Gregadoo
1821,Gregory Hills
1822,Greigs Flat
1823,Grenfell
1824,Gresford
1825,Greta
1826,Greta Main
1827,Grevillia
1828,Greystanes
1829,Griffith
1830,Grogan
1831,Grong Grong
1832,Grose Vale
1833,Grose Wold
1834,Grosses Plain
1835,Growee
1836,Guerilla Bay
1837,Guildford
1838,Guildford West
1839,Gulargambone
1840,Gulf Creek
1841,Gulgong
1842,Gulmarrad
1843,Gum Flat
1844,Gum Scrub
1845,Gumbalie
1846,Gumble
1847,Gumly Gumly
1848,Gumma
1849,Gunbar
1850,Gundagai
1851,Gundamulda
1852,Gundaroo
1853,Gundary
1854,Gunderbooka
1855,Gunderman
1856,Gundy
1857,Gungal
1858,Gungalman
1859,Gunnedah
1860,Gunning
1861,Gunning Gap
1862,Gunningbland
1863,Gunningrah
1864,Guntawang
1865,Gurley
1866,Gurnang
1867,Gurranang
1868,Gurrundah
1869,Guthega
1870,Guyong
1871,Guyra
1872,Gwabegar
1873,Gwandalan
1874,Gwynneville
1875,Gymea
1876,Gymea Bay
1877,Haberfield
1878,Hacks Ferry
1879,Halekulani
1880,Halfway Creek
1881,Hallidays Point
1882,Halloran
1883,Halls Creek
1884,Hallsville
1885,Halton
1886,Hambledon Hill
1887,Hamilton
1888,Hamilton East
1889,Hamilton North
1890,Hamilton South
1891,Hamilton Valley
1892,Hamlyn Terrace
1893,Hammondville
1894,Hampden Hall
1895,Hampton
1896,Hanging Rock
1897,Hanleys Creek
1898,Hannam Vale
1899,Hanwood
1900,Harden
1901,Hardys Bay
1902,Harefield
1903,Hargraves
1904,Harolds Cross
1905,Harparary
1906,Harpers Hill
1907,Harrington
1908,Harrington Park
1909,Harris Park
1910,Hartley
1911,Hartley Vale
1912,Hartwood
1913,Hartys Plains
1914,Harwood
1915,Hassall Grove
1916,Hassans Walls
1917,Hastings Point
1918,Hat Head
1919,Hatfield
1920,Havilah
1921,Hawkesbury Heights
1922,Hawks Nest
1923,Hay
1924,Hay South
1925,Hayes Gap
1926,Haymarket
1927,Haystack
1928,Hayters Hill
1929,Haywards Bay
1930,Hazelbrook
1931,Hazelgrove
1932,Heathcote
1933,Heatherbrae
1934,Hebden
1935,Hebersham
1936,Heckenberg
1937,Heddon Greta
1938,Heifer Station
1939,Helensburgh
1940,Henley
1941,Henty
1942,Hereford Hall
1943,Hermidale
1944,Hermitage Flat
1945,Hernani
1946,Herons Creek
1947,Hexham
1948,Hickeys Creek
1949,High Range
1950,Higher Macdonald
1951,Highfields
1952,Hill End
1953,Hill Top
1954,Hill Top
1955,Hilldale
1956,Hillgrove
1957,Hillgrove
1958,Hillsborough
1959,Hillsborough
1960,Hillsdale
1961,Hillston
1962,Hillville
1963,Hillvue
1964,Hinchinbrook
1965,Hinton
1966,Hobartville
1967,Hobbys Yards
1968,Hogarth Range
1969,Holbrook
1970,Holgate
1971,Hollisdale
1972,Hollydeen
1973,Holmesville
1974,Holroyd
1975,Holsworthy
1976,Holts Flat
1977,Home Rule
1978,Homebush
1979,Homebush West
1980,Homeleigh
1981,Honeybugle
1982,Hopefield
1983,Hopkins Creek
1984,Horningsea Park
1985,Hornsby
1986,Hornsby Heights
1987,Horse Station Creek
1988,Horseshoe Bend
1989,Horseshoe Creek
1990,Horsfield Bay
1991,Horsley
1992,Horsley Park
1993,Hoskinstown
1994,Hovells Creek
1995,Howards Grass
1996,Howell
1997,Howes Valley
1998,Howick
1999,Howlong
2000,Hoxton Park
2001,Humula
2002,Hungerford
2003,Hunters Hill
2004,Hunterview
2005,Huntingdon
2006,Huntingwood
2007,Huntley
2008,Huntley
2009,Huntleys Cove
2010,Huntleys Point
2011,Huonbrook
2012,Hurlstone Park
2013,Hurstville
2014,Hurstville Grove
2015,Huskisson
2016,Hyams Beach
2017,Hydes Creek
2018,Hyland Park
2019,Hyndmans Creek
2020,Ilarwill
2021,Ilford
2022,Illabo
2023,Illaroo
2024,Illawong
2025,Iluka
2026,Indi
2027,Ingebirah
2028,Ingeegoodbee
2029,Ingleburn
2030,Ingleside
2031,Innes View
2032,Inverell
2033,Invergordon
2034,Invergowrie
2035,Iron Pot Creek
2036,Ironbark
2037,Ironmungy
2038,Irvington
2039,Irymple
2040,Isabella
2041,Islington
2042,Ivanhoe
2043,Jackadgery
2044,Jacks Creek
2045,Jacksons Flat
2046,Jacky Bulbin Flat
2047,Jacobs River
2048,Jagumba
2049,Jagungal Wilderness
2050,Jamberoo
2051,James Creek
2052,Jamisontown
2053,Jannali
2054,Jaspers Brush
2055,Jaunter
2056,Jeir
2057,Jellat Jellat
2058,Jemalong
2059,Jembaicumbene
2060,Jennings
2061,Jenolan
2062,Jeogla
2063,Jerangle
2064,Jeremadra
2065,Jeremy
2066,Jerilderie
2067,Jerrabattgulla
2068,Jerrabomberra
2069,Jerrara
2070,Jerrawa
2071,Jerrawangala
2072,Jerrong
2073,Jerrys Plains
2074,Jerseyville
2075,Jervis Bay
2076,Jesmond
2077,Jewells
2078,Jews Lagoon
2079,Jibbon
2080,Jiggi
2081,Jilliby
2082,Jimenbuen
2083,Jincumbilly
2084,Jindabyne
2085,Jinden
2086,Jindera
2087,Jingellic
2088,Jingera
2089,Joadja
2090,Joes Box
2091,Johns River
2092,Jolly Nose
2093,Jones Bridge
2094,Jones Island
2095,Jooriland
2096,Jordan Springs
2097,Judds Creek
2098,Jugiong
2099,Junction Hill
2100,Junee
2101,Junee Reefs
2102,Kahibah
2103,Kains Flat
2104,Kalang
2105,Kalaru
2106,Kalkite
2107,Kamarah
2108,Kameruka
2109,Kanahooka
2110,Kanangra
2111,Kandos
2112,Kangaloon
2113,Kangaroo Creek
2114,Kangaroo Point
2115,Kangaroo Valley
2116,Kangaroobie
2117,Kangiara
2118,Kangy Angy
2119,Kanimbla
2120,Kanoona
2121,Kanwal
2122,Kapooka
2123,Kaputar
2124,Karaak Flat
2125,Karabar
2126,Karangi
2127,Kareela
2128,Kariong
2129,Kars Springs
2130,Karuah
2131,Katoomba
2132,Kayuga
2133,Kearns
2134,Kearsley
2135,Kedumba
2136,Keepit
2137,Keera
2138,Keerrong
2139,Keinbah
2140,Keiraville
2141,Keith Hall
2142,Kelgoola
2143,Kellys Plains
2144,Kellyville
2145,Kellyville Ridge
2146,Kelso
2147,Kelvin
2148,Kembla Grange
2149,Kembla Heights
2150,Kemps Creek
2151,Kempsey
2152,Kendall
2153,Kenebri
2154,Kennaicle Creek
2155,Kensington
2156,Kenthurst
2157,Kentlyn
2158,Kentucky
2159,Kentucky South
2160,Kerewong
2161,Keri Keri
2162,Kerrabee
2163,Kerrigundi
2164,Kerrs Creek
2165,Kew
2166,Keybarbin
2167,Khancoban
2168,Khatambuhl
2169,Kia Ora
2170,Kiacatoo
2171,Kiah
2172,Kiama
2173,Kiama Downs
2174,Kiama Heights
2175,Kiandra
2176,Kianga
2177,Kiar
2178,Kickabil
2179,Kielvale
2180,Kikiamah
2181,Kikoira
2182,Kilaben Bay
2183,Kilgin
2184,Kilgra
2185,Killabakh
2186,Killara
2187,Killarney Heights
2188,Killarney Vale
2189,Killawarra
2190,Killcare
2191,Killcare Heights
2192,Killiekrankie
2193,Killimicat
2194,Killingworth
2195,Killongbutta
2196,Kimbriki
2197,Kinchela
2198,Kincumber
2199,Kincumber South
2200,Kindee
2201,Kindervale
2202,King Creek
2203,Kingfisher Shores
2204,Kinghorne
2205,Kings Forest
2206,Kings Hill
2207,Kings Langley
2208,Kings Park
2209,Kings Plains
2210,Kings Plains
2211,Kings Point
2212,Kingscliff
2213,Kingsdale
2214,Kingsford
2215,Kingsgate
2216,Kingsgrove
2217,Kingsland
2218,Kingstown
2219,Kingsvale
2220,Kingswood
2221,Kingswood
2222,Kingswood
2223,Kinvara
2224,Kioloa
2225,Kiora
2226,Kippara
2227,Kippaxs
2228,Kippenduff
2229,Kirkconnell
2230,Kirkham
2231,Kirrawee
2232,Kirribilli
2233,Kitchener
2234,Kiwarrak
2235,Klori
2236,Knights Hill
2237,Knockrow
2238,Knorrit Flat
2239,Knorrit Forest
2240,Kogarah
2241,Kogarah Bay
2242,Kooba
2243,Kookabookra
2244,Koolewong
2245,Koolkhan
2246,Koonawarra
2247,Koonorigan
2248,Koonyum Range
2249,Kooragang
2250,Koorainghat
2251,Koorawatha
2252,Kooringal
2253,Kootingal
2254,Koraleigh
2255,Koreelah
2256,Korora
2257,Kosciuszko
2258,Kotara
2259,Kotara South
2260,Kowmung
2261,Krambach
2262,Krawarree
2263,Kremnos
2264,Ku-ring-gai Chase
2265,Kulnura
2266,Kulwin
2267,Kunama
2268,Kundabung
2269,Kundibakh
2270,Kundle Kundle
2271,Kungala
2272,Kunghur
2273,Kunghur Creek
2274,Kurmond
2275,Kurnell
2276,Kurraba Point
2277,Kurrajong
2278,Kurrajong Heights
2279,Kurrajong Hills
2280,Kurri Kurri
2281,Kyalite
2282,Kyarran
2283,Kybeyan
2284,Kyeamba
2285,Kyeemagh
2286,Kyle Bay
2287,Kynnumboon
2288,Kyogle
2289,La Perouse
2290,Lacmalac
2291,Lade Vale
2292,Ladysmith
2293,Laffing Waters
2294,Laggan
2295,Lagoon Grass
2296,Laguna
2297,Lake Albert
2298,Lake Bathurst
2299,Lake Brewster
2300,Lake Burrendong
2301,Lake Cargelligo
2302,Lake Cathie
2303,Lake Conjola
2304,Lake Cowal
2305,Lake George
2306,Lake Haven
2307,Lake Heights
2308,Lake Hiawatha
2309,Lake Hume Village
2310,Lake Illawarra
2311,Lake Innes
2312,Lake Macquarie
2313,Lake Munmorah
2314,Lake Tabourie
2315,Lake Wyangan
2316,Lakelands
2317,Lakemba
2318,Lakesland
2319,Lakewood
2320,Lalalty
2321,Lalor Park
2322,Lambs Valley
2323,Lambs Valley
2324,Lambton
2325,Landervale
2326,Lane Cove
2327,Lane Cove North
2328,Lane Cove West
2329,Langley Vale
2330,Lanitza
2331,Lankeys Creek
2332,Lansdowne
2333,Lansdowne
2334,Lansdowne Forest
2335,Lansvale
2336,Lapstone
2337,Larbert
2338,Largs
2339,Larnook
2340,Larras Lee
2341,Laughtondale
2342,Laurel Hill
2343,Laurieton
2344,Lavadia
2345,Lavender Bay
2346,Laverstock
2347,Lavington
2348,Lawrence
2349,Lawson
2350,Leadville
2351,Leconfield
2352,Lee Creek
2353,Leeton
2354,Leets Vale
2355,Leeville
2356,Legume
2357,Leichhardt
2358,Lemington
2359,Lemon Tree
2360,Lemon Tree Passage
2361,Len Waters Estate
2362,Lenaghan
2363,Lennox Head
2364,Leonay
2365,Leppington
2366,Lerida
2367,Lethbridge Park
2368,Leumeah
2369,Leura
2370,Levenstrath
2371,Lewinsbrook
2372,Lewis Ponds
2373,Lewisham
2374,Leycester
2375,Liberty Grove
2376,Lidcombe
2377,Liddell
2378,Lidsdale
2379,Lidster
2380,Lightning Ridge
2381,Lilli Pilli
2382,Lilli Pilli
2383,Lillian Rock
2384,Lilydale
2385,Lilyfield
2386,Lilyvale
2387,Limbri
2388,Limeburners Creek
2389,Limeburners Creek
2390,Limekilns
2391,Limerick
2392,Limestone
2393,Limpinwood
2394,Linburn
2395,Linden
2396,Lindendale
2397,Lindesay
2398,Lindesay Creek
2399,Lindfield
2400,Lindifferon
2401,Linley Point
2402,Lionsville
2403,Lisarow
2404,Lismore
2405,Lismore Heights
2406,Liston
2407,Lithgow
2408,Little Back Creek
2409,Little Bay
2410,Little Billabong
2411,Little Forest
2412,Little Hartley
2413,Little Jacks Creek
2414,Little Jilliby
2415,Little Pelican
2416,Little Plain
2417,Little River
2418,Little Topar
2419,Little Wobby
2420,Littleton
2421,Liverpool
2422,Llanarth
2423,Llandilo
2424,Llangothlin
2425,Lloyd
2426,Loadstone
2427,Lochiel
2428,Lochinvar
2429,Lockhart
2430,Locksley
2431,Loftus
2432,Loftville
2433,Logans Crossing
2434,Logie Brae
2435,Londonderry
2436,Long Beach
2437,Long Flat
2438,Long Jetty
2439,Long Plain
2440,Long Plain
2441,Long Point
2442,Long Point
2443,Longarm
2444,Longreach
2445,Longueville
2446,Loomberah
2447,Lord Howe Island
2448,Lords Hill
2449,Lorn
2450,Lorne
2451,Lost River
2452,Lostock
2453,Louisa Creek
2454,Louth
2455,Louth Park
2456,Lovedale
2457,Lovett Bay
2458,Lovett Bay
2459,Lowanna
2460,Lower Acacia Creek
2461,Lower Bago
2462,Lower Belford
2463,Lower Boro
2464,Lower Bottle Creek
2465,Lower Creek
2466,Lower Duck Creek
2467,Lower Dyraaba
2468,Lower Lewis Ponds
2469,Lower Macdonald
2470,Lower Mangrove
2471,Lower Pappinbarra
2472,Lower Peacock
2473,Lower Portland
2474,Lower Southgate
2475,Lowesdale
2476,Lowther
2477,Loxford
2478,Lucas Heights
2479,Lucknow
2480,Luddenham
2481,Lue
2482,Lugarno
2483,Lurnea
2484,Luskintyre
2485,Lynchs Creek
2486,Lyndhurst
2487,Lyndhurst
2488,Lynwood
2489,Mabins Well
2490,MacDonalds Creek
2491,MacMasters Beach
2492,Macksville
2493,Maclean
2494,Macquarie Fields
2495,Macquarie Hills
2496,Macquarie Links
2497,Macquarie Marshes
2498,Macquarie Park
2499,Macquarie Pass
2500,Maddens Plains
2501,Maffra
2502,Magenta
2503,Magometon
2504,Maianbar
2505,Maimuru
2506,Main Arm
2507,Main Creek
2508,Mairjimmy
2509,Maison Dieu
2510,Maitland
2511,Maitland Bar
2512,Maitland Vale
2513,Majors Creek
2514,Malabar
2515,Malabugilmah
2516,Maldon
2517,Mallabula
2518,Mallan
2519,Mallanganee
2520,Mallee
2521,Mallowa
2522,Maloneys Beach
2523,Malua Bay
2524,Manar
2525,Manchester Square
2526,Mandagery
2527,Mandalong
2528,Mandemar
2529,Mandurama
2530,Mangerton
2531,Mangoola
2532,Mangoplah
2533,Mangrove Creek
2534,Mangrove Mountain
2535,Manildra
2536,Manilla
2537,Manly
2538,Manly Vale
2539,Mannering Park
2540,Manning Point
2541,Mannus
2542,Manobalai
2543,Manton
2544,Manyana
2545,Maragle
2546,Maraylya
2547,Marayong
2548,March
2549,Marchmont
2550,Mardi
2551,Marengo
2552,Mares Run
2553,Marinna
2554,Marks Point
2555,Markwell
2556,Marlee
2557,Marley
2558,Marlo Merrican
2559,Marlow
2560,Marlowe
2561,Marmong Point
2562,Marom Creek
2563,Maroota
2564,Maroubra
2565,Marrangaroo
2566,Marrar
2567,Marrickville
2568,Marsden Park
2569,Marsfield
2570,Marshall Mount
2571,Marshdale
2572,Marthaguy
2573,Martindale
2574,Martins Creek
2575,Martinsville
2576,Marulan
2577,Maryland
2578,Maryland
2579,Marys Mount
2580,Maryvale
2581,Maryville
2582,Mascot
2583,Matcham
2584,Matheson
2585,Mathoura
2586,Matong
2587,Matraville
2588,Maude
2589,Maules Creek
2590,Maxwell
2591,Maybole
2592,Mayers Flat
2593,Mayfield
2594,Mayfield
2595,Mayfield
2596,Mayfield
2597,Mayfield East
2598,Mayfield North
2599,Mayfield West
2600,Mayrung
2601,Mays Hill
2602,Mayvale
2603,McCarrs Creek
2604,McCullys Gap
2605,McDougalls Hill
2606,McGraths Hill
2607,McKees Hill
2608,McKellars Park
2609,McLeans Ridges
2610,McLeods Shoot
2611,McMahons Point
2612,McMahons Reef
2613,Meadow Flat
2614,Meadowbank
2615,Mebbin
2616,Mebul
2617,Medlow Bath
2618,Medlow Bath
2619,Medowie
2620,Medway
2621,Meerschaum Vale
2622,Megalong Valley
2623,Megalong Valley
2624,Megan
2625,Melbergen
2626,Melinga
2627,Mellong
2628,Mellool
2629,Melonba
2630,Melrose Park
2631,Melville
2632,Memagong
2633,Menah
2634,Menai
2635,Menangle
2636,Menangle Park
2637,Mendooran
2638,Menindee
2639,Merah North
2640,Merewether
2641,Merewether Heights
2642,Merimbula
2643,Meringo
2644,Mernot
2645,Meroo
2646,Meroo Meadow
2647,Merotherie
2648,Merriangaah
2649,Merricumbene
2650,Merrigal
2651,Merrill
2652,Merriwa
2653,Merriwagga
2654,Merrygoen
2655,Merrylands
2656,Merrylands West
2657,Merungle Hill
2658,Meryla
2659,Metford
2660,Methul
2661,Metz
2662,Miamley
2663,Miandetta
2664,Micalo Island
2665,Michelago
2666,Middle Arm
2667,Middle Brook
2668,Middle Brother
2669,Middle Cove
2670,Middle Dural
2671,Middle Falbrook
2672,Middle Flat
2673,Middle Harbour
2674,Middle Pocket
2675,Middleton Grange
2676,Middlingbank
2677,Midginbil
2678,Mihi
2679,Mila
2680,Milbrodale
2681,Milbrulong
2682,Milkers Flat
2683,Millah Murrah
2684,Millbank
2685,Miller
2686,Millers Forest
2687,Millers Point
2688,Millfield
2689,Millie
2690,Millingandi
2691,Millthorpe
2692,Milparinka
2693,Milperra
2694,Milroy
2695,Milroy
2696,Milsons Passage
2697,Milsons Point
2698,Milton
2699,Milvale
2700,Mimosa
2701,Minchinbury
2702,Mindaribba
2703,Mingoola
2704,Minimbah
2705,Minjary
2706,Minmi
2707,Minnamurra
2708,Minnie Water
2709,Minore
2710,Minto
2711,Minto Heights
2712,Mirador
2713,Miranda
2714,Mirannie
2715,Mirrabooka
2716,Mirrool
2717,Missabotti
2718,Mitchell
2719,Mitchells Flat
2720,Mitchells Island
2721,Mittagong
2722,Moama
2723,Modanville
2724,Mogareeka
2725,Mogendoura
2726,Moggs Swamp
2727,Mogilla
2728,Mogo
2729,Mogo
2730,Mogo Creek
2731,Mogood
2732,Mograni
2733,Mogriguy
2734,Mole River
2735,Moleville Creek
2736,Mollyan
2737,Mollymook
2738,Mollymook Beach
2739,Molong
2740,Mona Vale
2741,Monak
2742,Monaltrie
2743,Mondayong
2744,Mondrook
2745,Monga
2746,Mongarlowe
2747,Mongogarie
2748,Monia Gap
2749,Monivae
2750,Monkerai
2751,Monteagle
2752,Montecollum
2753,Montefiores
2754,Monterey
2755,Mooball
2756,Moobi
2757,Moogem
2758,Mookerawa
2759,Mookima Wybra
2760,Moolarben
2761,Moollattoo
2762,Moolpa
2763,Moombooldool
2764,Moonan Brook
2765,Moonan Flat
2766,Moonbah
2767,Moonbi
2768,Moonbria
2769,Mooneba
2770,Moonee
2771,Moonee Beach
2772,Mooney Mooney
2773,Mooney Mooney Creek
2774,Moonpar
2775,Mooral Creek
2776,Moorara
2777,Moorbel
2778,Moore Creek
2779,Moore Park
2780,Moorebank
2781,Moorilda
2782,Moorland
2783,Moorong
2784,Moorwatha
2785,Moparrabah
2786,Moppy
2787,Morago
2788,Morangarell
2789,Morans Crossing
2790,Moree
2791,Morisset
2792,Morisset Park
2793,Morning Bay
2794,Mororo
2795,Morpeth
2796,Mortdale
2797,Mortlake
2798,Morton
2799,Mortons Creek
2800,Morts Estate
2801,Morundah
2802,Moruya
2803,Moruya Heads
2804,Morven
2805,Morven
2806,Mosman
2807,Moss Vale
2808,Mossgiel
2809,Mossy Point
2810,Moto
2811,Moulamein
2812,Mount Adrah
2813,Mount Annan
2814,Mount Aquila
2815,Mount Arthur
2816,Mount Austin
2817,Mount Burrell
2818,Mount Colah
2819,Mount Collins
2820,Mount Cooper
2821,Mount Darragh
2822,Mount David
2823,Mount Dee
2824,Mount Druitt
2825,Mount Elliot
2826,Mount Fairy
2827,Mount Foster
2828,Mount Frome
2829,Mount George
2830,Mount Harris
2831,Mount Hope
2832,Mount Horeb
2833,Mount Hunter
2834,Mount Hutton
2835,Mount Irvine
2836,Mount Keira
2837,Mount Kembla
2838,Mount Kingiman
2839,Mount Knowles
2840,Mount Kuring-gai
2841,Mount Lambie
2842,Mount Lewis
2843,Mount Lindsey
2844,Mount Marsden
2845,Mount Marsh
2846,Mount Mitchell
2847,Mount Murray
2848,Mount Olive
2849,Mount Olive
2850,Mount Ousley
2851,Mount Panorama
2852,Mount Pleasant
2853,Mount Pritchard
2854,Mount Rankin
2855,Mount Rivers
2856,Mount Riverview
2857,Mount Royal
2858,Mount Russell
2859,Mount Saint Thomas
2860,Mount Seaview
2861,Mount Tenandra
2862,Mount Thorley
2863,Mount Tomah
2864,Mount Vernon
2865,Mount Victoria
2866,Mount View
2867,Mount Vincent
2868,Mount Warning
2869,Mount Warrigal
2870,Mount Werong
2871,Mount White
2872,Mount Wilson
2873,Mountain Creek
2874,Mountain Lagoon
2875,Mountain Top
2876,Mountain View
2877,Mourquong
2878,Mowbray Park
2879,Mozart
2880,Mudgee
2881,Mulbring
2882,Mulgoa
2883,Mulgrave
2884,Mulguthrie
2885,Muli Muli
2886,Mulla
2887,Mulla Creek
2888,Mullaley
2889,Mullamuddy
2890,Mullaway
2891,Mullengandra
2892,Mullengudgery
2893,Mullion
2894,Mullion Creek
2895,Mulloon
2896,Mullumbimby
2897,Mullumbimby Creek
2898,Mulwala
2899,Mulyandry
2900,Mumbil
2901,Mumblebone Plain
2902,Mumbulla Mountain
2903,Mummel
2904,Mummulgum
2905,Mundamia
2906,Mundarlo
2907,Munderoo
2908,Mundongo
2909,Mungay Creek
2910,Munghorn
2911,Mungindi
2912,Mungo
2913,Mungo Brush
2914,Munni
2915,Munyabla
2916,Munyang
2917,Murga
2918,Murrah
2919,Murrami
2920,Murrawombie
2921,Murray Downs
2922,Murray Gorge
2923,Murrays Beach
2924,Murrays Run
2925,Murrengenburg
2926,Murrin Bridge
2927,Murringo
2928,Murrulebale
2929,Murrumbateman
2930,Murrumbo
2931,Murrumbucca
2932,Murrumburrah
2933,Murrurundi
2934,Murulla
2935,Murwillumbah
2936,Muscle Creek
2937,Muswellbrook
2938,Mutawintji
2939,Muttama
2940,Myall Creek
2941,Myall Lake
2942,Myall Park
2943,Myalla
2944,Mylestom
2945,Mylneford
2946,Myocum
2947,Myola
2948,Myrtle Creek
2949,Myrtle Mountain
2950,Myrtle Park
2951,Myrtleville
2952,Mystery Bay
2953,Myuna Bay
2954,Nabiac
2955,Nadgee
2956,Nambucca Heads
2957,Namoi River
2958,Nana Glen
2959,Nangus
2960,Nanima
2961,Napoleon Reef
2962,Naradhan
2963,Narara
2964,Narellan
2965,Narellan Vale
2966,Naremburn
2967,Narooma
2968,Narrabarba
2969,Narrabeen
2970,Narrabri
2971,Narraburra
2972,Narran Lake
2973,Narrandera
2974,Narrangullen
2975,Narrawa
2976,Narrawallee
2977,Narraweena
2978,Narromine
2979,Narwee
2980,Nashdale
2981,Nashua
2982,Nattai
2983,Naughtons Gap
2984,Neath
2985,Nebea
2986,Neilrex
2987,Nelligen
2988,Nelson
2989,Nelson
2990,Nelson Bay
2991,Nelsons Plains
2992,Nelungaloo
2993,Nemingha
2994,Nericon
2995,Neringla
2996,Nerong
2997,Nerriga
2998,Nerrigundah
2999,Nethercote
3000,Neurea
3001,Neutral Bay
3002,Never Never
3003,Nevertire
3004,Neville
3005,New Berrima
3006,New Brighton
3007,New Buildings
3008,New Italy
3009,New Lambton
3010,New Lambton Heights
3011,New Mexico
3012,New Park
3013,New Valley
3014,Newbold
3015,Newbridge
3016,Newcastle
3017,Newcastle East
3018,Newcastle West
3019,Newee Creek
3020,Newington
3021,Newnes
3022,Newnes Plateau
3023,Newport
3024,Newrybar
3025,Newstead
3026,Newton Boyd
3027,Newtown
3028,Ngarigo
3029,Niagara Park
3030,Niangala
3031,Niemur
