,suburb
384,Bishops Bridge
385,Bithramere
386,Black Creek
387,Black Creek
388,Black Head
389,Black Hill
390,Black Hollow
391,Black Mountain
392,Black Range
393,Black Springs
394,Blackalls Park
395,Blackbutt
396,Blackett
397,Blackheath
398,Blackheath
399,Blackmans Flat
400,Blackmans Point
401,Blacksmiths
402,Blacktown
403,Blackville
404,Blackwall
405,Blair Athol
406,Blairmount
407,Blakebrook
408,Blakehurst
409,Blakney Creek
410,Bland
411,Blandford
412,Blaxland
413,Blaxlands Creek
414,Blaxlands Ridge
415,Blayney
416,Bligh Park
417,Blighty
418,Blowering
419,Blue Bay
420,Blue Cow
421,Blue Haven
422,Blue Knob
423,Blue Mountains National Park
424,Blue Mountains National Park
425,Blue Mountains National Park
426,Blue Mountains National Park
427,Blue Mountains National Park
428,Blue Mountains National Park
429,Blue Mountains National Park
430,Blue Mountains National Park
431,Blue Mountains National Park
432,Blue Mountains National Park
433,Blue Mountains National Park
434,Blue Mountains National Park
435,Blue Mountains National Park
436,Blue Mountains National Park
437,Blue Nobby
438,Blue Vale
439,Blueys Beach
440,Boambee
441,Boambee East
442,Boambolo
443,Boat Harbour
444,Boat Harbour
445,Bobadah
446,Bobin
447,Bobs Creek
448,Bobs Farm
449,Bobundara
450,Boco
451,Bocoble
452,Bocobra
453,Bodalla
454,Bodangora
455,Boeill Creek
456,Bogan
457,Bogan Gate
458,Bogangar
459,Bogee
460,Boggabilla
461,Boggabri
462,Bogong Peaks Wilderness
463,Bohena Creek
464,Bohnock
465,Bolaro
466,Bolivia
467,Bolong
468,Bolton Point
469,Bolwarra
470,Bolwarra Heights
471,Bom Bom
472,Bomaderry
473,Bombah Point
474,Bombala
475,Bombay
476,Bombira
477,Bombo
478,Bombowlee
479,Bombowlee Creek
480,Bomen
481,Bonalbo
482,Bondi
483,Bondi Beach
484,Bondi Forest
485,Bondi Junction
486,Bonnells Bay
487,Bonnet Bay
488,Bonnie Vale
489,Bonny Hills
490,Bonnyrigg
491,Bonnyrigg Heights
492,Bonshaw
493,Bonville
494,Booerie Creek
495,Book Book
496,Booker Bay
497,Bookham
498,Bookookoorara
499,Bookram
500,Boolambayte
501,Boolaroo
502,Boolcarroll
503,Booligal
504,Boolijah
